epoch,train_loss,val_loss,val_acc
1,3.1240,2.8627,0.3346
2,2.5710,2.1340,0.5015
3,1.9243,1.5097,0.6838
4,1.4544,1.0912,0.6962
5,1.1318,0.8409,0.8492
6,0.9294,0.6896,0.8515
7,0.8012,0.5847,0.8638
8,0.6978,0.5131,0.9123
9,0.6150,0.4555,0.9146
10,0.5475,0.4039,0.9292
11,0.5067,0.3639,0.9308
12,0.4499,0.3293,0.9315
13,0.4188,0.3015,0.9392
14,0.3921,0.2835,0.9277
15,0.3555,0.2545,0.9531
16,0.3310,0.2350,0.9638
17,0.2994,0.2143,0.9638
18,0.2779,0.1960,0.9546
19,0.2657,0.1839,0.9700
20,0.2468,0.1671,0.9738
21,0.2269,0.1571,0.9746
22,0.2253,0.1466,0.9808
23,0.2015,0.1322,0.9815
24,0.1799,0.1254,0.9777
25,0.1755,0.1188,0.9762
26,0.1606,0.1067,0.9838
27,0.1533,0.1019,0.9815
28,0.1418,0.0966,0.9800
29,0.1333,0.0941,0.9785
30,0.1224,0.0850,0.9831
31,0.1200,0.0806,0.9846
32,0.1203,0.0839,0.9838
33,0.1092,0.0739,0.9862
34,0.1002,0.0693,0.9862
35,0.0942,0.0680,0.9892
36,0.0977,0.0658,0.9908
37,0.0918,0.0654,0.9885
38,0.0915,0.0649,0.9892
39,0.0909,0.0629,0.9885
40,0.0846,0.0604,0.9892
41,0.0851,0.0579,0.9885
42,0.0745,0.0590,0.9854
43,0.0756,0.0595,0.9862
44,0.0737,0.0541,0.9908
45,0.0715,0.0531,0.9908
46,0.0664,0.0521,0.9915
47,0.0653,0.0509,0.9915
48,0.0650,0.0500,0.9892
49,0.0621,0.0517,0.9885
50,0.0639,0.0483,0.9885
